rootId:ID,root,transliteration,:LABEL
1,سمو,smw,Root
2,رحم,rHm,Root
3,حمد,Hmd,Root
4,ربب,rbb,Root
5,علم,Elm,Root
6,ملك,mlk,Root
7,يوم,ywm,Root
8,دين,dyn,Root
9,عبد,Ebd,Root
10,عون,Ewn,Root
11,هدي,hdy,Root
12,صرط,SrT,Root
13,قوم,qwm,Root
14,نعم,nEm,Root
15,غير,gyr,Root
16,غضب,gDb,Root
17,ضلل,Dll,Root
18,كتب,ktb,Root
19,ريب,ryb,Root
20,وقي,wqy,Root
21,امن,Amn,Root
22,غيب,gyb,Root
23,صلو,Slw,Root
24,رزق,rzq,Root
25,نفق,nfq,Root
26,نزل,nzl,Root
27,قبل,qbl,Root
28,اخر,Axr,Root
29,يقن,yqn,Root
30,فلح,flH,Root
31,كفر,kfr,Root
32,سوي,swy,Root
33,نذر,npr,Root
34,ختم,xtm,Root
35,قلب,qlb,Root
36,سمع,smE,Root
37,بصر,bSr,Root
38,غشو,g$w,Root
39,عذب,Epb,Root
40,عظم,EZm,Root
41,نوس,nws,Root
42,قول,qwl,Root
43,خدع,xdE,Root
44,نفس,nfs,Root
45,شعر,$Er,Root
46,مرض,mrD,Root
47,زيد,zyd,Root
48,الم,Alm,Root
49,كون,kwn,Root
50,كذب,kpb,Root
51,فسد,fsd,Root
52,ارض,ArD,Root
53,صلح,SlH,Root
54,سفه,sfh,Root
55,لقي,lqy,Root
56,خلو,xlw,Root
57,شطن,$Tn,Root
58,هزا,hzA,Root
59,مدد,mdd,Root
60,طغي,Tgy,Root
61,عمه,Emh,Root
62,شري,$ry,Root
63,ربح,rbH,Root
64,تجر,tjr,Root
65,مثل,mvl,Root
66,وقد,wqd,Root
67,نور,nwr,Root
68,ضوا,DwA,Root
69,حول,Hwl,Root
70,ذهب,phb,Root
71,ترك,trk,Root
72,ظلم,Zlm,Root
73,صمم,Smm,Root
74,بكم,bkm,Root
75,عمي,Emy,Root
76,رجع,rjE,Root
77,صوب,Swb,Root
78,رعد,rEd,Root
79,برق,brq,Root
80,جعل,jEl,Root
81,صبع,SbE,Root
82,اذن,Apn,Root
83,صعق,SEq,Root
84,حذر,Hpr,Root
85,موت,mwt,Root
86,حوط,HwT,Root
87,كود,kwd,Root
88,خطف,xTf,Root
89,كلل,kll,Root
90,مشي,m$y,Root
91,شيا,$yA,Root
92,قدر,qdr,Root
93,خلق,xlq,Root
94,فرش,fr$,Root
95,بني,bny,Root
96,موه,mwh,Root
97,خرج,xrj,Root
98,ثمر,vmr,Root
99,ندد,ndd,Root
100,اتي,Aty,Root
101,سور,swr,Root
102,دعو,dEw,Root
103,شهد,$hd,Root
104,دون,dwn,Root
105,صدق,Sdq,Root
106,فعل,fEl,Root
107,حجر,Hjr,Root
108,عدد,Edd,Root
109,بشر,b$r,Root
110,عمل,Eml,Root
111,جنن,jnn,Root
112,جري,jry,Root
113,تحت,tHt,Root
114,نهر,nhr,Root
115,شبه,$bh,Root
116,زوج,zwj,Root
117,طهر,Thr,Root
118,خلد,xld,Root
119,حيي,Hyy,Root
120,ضرب,Drb,Root
121,بعض,bED,Root
122,فوق,fwq,Root
123,حقق,Hqq,Root
124,رود,rwd,Root
125,كثر,kvr,Root
126,فسق,fsq,Root
127,نقض,nqD,Root
128,عهد,Ehd,Root
129,بعد,bEd,Root
130,وثق,wvq,Root
131,قطع,qTE,Root
132,امر,Amr,Root
133,وصل,wSl,Root
134,خسر,xsr,Root
135,كيف,kyf,Root
136,جمع,jmE,Root
137,سبع,sbE,Root
138,خلف,xlf,Root
139,سفك,sfk,Root
140,دمو,dmw,Root
141,سبح,sbH,Root
142,قدس,qds,Root
143,عرض,ErD,Root
144,نبا,nbA,Root
145,حكم,Hkm,Root
146,بدو,bdw,Root
147,كتم,ktm,Root
148,سجد,sjd,Root
149,ابي,Aby,Root
150,كبر,kbr,Root
151,سكن,skn,Root
152,اكل,Akl,Root
153,رغد,rgd,Root
154,حيث,Hyv,Root
155,قرب,qrb,Root
156,شجر,$jr,Root
157,زلل,zll,Root
158,هبط,hbT,Root
