rootId:START_ID,rootId:END_ID,surah:int,verse:int,:TYPE
1,2,1,1,OCCURS
3,4,1,2,OCCURS
3,5,1,2,OCCURS
4,5,1,2,OCCURS
6,7,1,4,OCCURS
6,8,1,4,OCCURS
7,8,1,4,OCCURS
9,10,1,5,OCCURS
11,12,1,6,OCCURS
11,13,1,6,OCCURS
12,13,1,6,OCCURS
12,14,1,7,OCCURS
12,15,1,7,OCCURS
12,16,1,7,OCCURS
12,17,1,7,OCCURS
14,15,1,7,OCCURS
14,16,1,7,OCCURS
14,17,1,7,OCCURS
15,16,1,7,OCCURS
15,17,1,7,OCCURS
16,17,1,7,OCCURS
18,19,2,2,OCCURS
18,11,2,2,OCCURS
18,20,2,2,OCCURS
19,11,2,2,OCCURS
19,20,2,2,OCCURS
11,20,2,2,OCCURS
21,22,2,3,OCCURS
21,13,2,3,OCCURS
21,23,2,3,OCCURS
21,24,2,3,OCCURS
21,25,2,3,OCCURS
22,13,2,3,OCCURS
22,23,2,3,OCCURS
22,24,2,3,OCCURS
22,25,2,3,OCCURS
13,23,2,3,OCCURS
13,24,2,3,OCCURS
13,25,2,3,OCCURS
23,24,2,3,OCCURS
23,25,2,3,OCCURS
24,25,2,3,OCCURS
21,26,2,4,OCCURS
21,27,2,4,OCCURS
21,28,2,4,OCCURS
21,29,2,4,OCCURS
26,27,2,4,OCCURS
26,28,2,4,OCCURS
26,29,2,4,OCCURS
27,28,2,4,OCCURS
27,29,2,4,OCCURS
28,29,2,4,OCCURS
11,4,2,5,OCCURS
11,30,2,5,OCCURS
4,30,2,5,OCCURS
31,32,2,6,OCCURS
31,33,2,6,OCCURS
31,21,2,6,OCCURS
32,33,2,6,OCCURS
32,21,2,6,OCCURS
33,21,2,6,OCCURS
34,35,2,7,OCCURS
34,36,2,7,OCCURS
34,37,2,7,OCCURS
34,38,2,7,OCCURS
34,39,2,7,OCCURS
34,40,2,7,OCCURS
35,36,2,7,OCCURS
35,37,2,7,OCCURS
35,38,2,7,OCCURS
35,39,2,7,OCCURS
35,40,2,7,OCCURS
36,37,2,7,OCCURS
36,38,2,7,OCCURS
36,39,2,7,OCCURS
36,40,2,7,OCCURS
37,38,2,7,OCCURS
37,39,2,7,OCCURS
37,40,2,7,OCCURS
38,39,2,7,OCCURS
38,40,2,7,OCCURS
39,40,2,7,OCCURS
41,42,2,8,OCCURS
41,21,2,8,OCCURS
41,7,2,8,OCCURS
41,28,2,8,OCCURS
42,21,2,8,OCCURS
42,7,2,8,OCCURS
42,28,2,8,OCCURS
21,7,2,8,OCCURS
21,28,2,8,OCCURS
7,28,2,8,OCCURS
43,21,2,9,OCCURS
43,44,2,9,OCCURS
43,45,2,9,OCCURS
21,44,2,9,OCCURS
21,45,2,9,OCCURS
44,45,2,9,OCCURS
35,46,2,10,OCCURS
35,47,2,10,OCCURS
35,39,2,10,OCCURS
35,48,2,10,OCCURS
35,49,2,10,OCCURS
35,50,2,10,OCCURS
46,47,2,10,OCCURS
46,39,2,10,OCCURS
46,48,2,10,OCCURS
46,49,2,10,OCCURS
46,50,2,10,OCCURS
47,39,2,10,OCCURS
47,48,2,10,OCCURS
47,49,2,10,OCCURS
47,50,2,10,OCCURS
39,48,2,10,OCCURS
39,49,2,10,OCCURS
39,50,2,10,OCCURS
48,49,2,10,OCCURS
48,50,2,10,OCCURS
49,50,2,10,OCCURS
42,51,2,11,OCCURS
42,52,2,11,OCCURS
42,53,2,11,OCCURS
51,52,2,11,OCCURS
51,53,2,11,OCCURS
52,53,2,11,OCCURS
51,45,2,12,OCCURS
42,21,2,13,OCCURS
42,41,2,13,OCCURS
42,54,2,13,OCCURS
42,5,2,13,OCCURS
21,41,2,13,OCCURS
21,54,2,13,OCCURS
21,5,2,13,OCCURS
41,54,2,13,OCCURS
41,5,2,13,OCCURS
54,5,2,13,OCCURS
55,21,2,14,OCCURS
55,42,2,14,OCCURS
55,56,2,14,OCCURS
55,57,2,14,OCCURS
55,58,2,14,OCCURS
21,42,2,14,OCCURS
21,56,2,14,OCCURS
21,57,2,14,OCCURS
21,58,2,14,OCCURS
42,56,2,14,OCCURS
42,57,2,14,OCCURS
42,58,2,14,OCCURS
56,57,2,14,OCCURS
56,58,2,14,OCCURS
57,58,2,14,OCCURS
58,59,2,15,OCCURS
58,60,2,15,OCCURS
58,61,2,15,OCCURS
59,60,2,15,OCCURS
59,61,2,15,OCCURS
60,61,2,15,OCCURS
62,17,2,16,OCCURS
62,11,2,16,OCCURS
62,63,2,16,OCCURS
62,64,2,16,OCCURS
62,49,2,16,OCCURS
17,11,2,16,OCCURS
17,63,2,16,OCCURS
17,64,2,16,OCCURS
17,49,2,16,OCCURS
11,63,2,16,OCCURS
11,64,2,16,OCCURS
11,49,2,16,OCCURS
63,64,2,16,OCCURS
63,49,2,16,OCCURS
64,49,2,16,OCCURS
65,66,2,17,OCCURS
65,67,2,17,OCCURS
65,68,2,17,OCCURS
65,69,2,17,OCCURS
65,70,2,17,OCCURS
65,71,2,17,OCCURS
65,72,2,17,OCCURS
65,37,2,17,OCCURS
66,67,2,17,OCCURS
66,68,2,17,OCCURS
66,69,2,17,OCCURS
66,70,2,17,OCCURS
66,71,2,17,OCCURS
66,72,2,17,OCCURS
66,37,2,17,OCCURS
67,68,2,17,OCCURS
67,69,2,17,OCCURS
67,70,2,17,OCCURS
67,71,2,17,OCCURS
67,72,2,17,OCCURS
67,37,2,17,OCCURS
68,69,2,17,OCCURS
68,70,2,17,OCCURS
68,71,2,17,OCCURS
68,72,2,17,OCCURS
68,37,2,17,OCCURS
69,70,2,17,OCCURS
69,71,2,17,OCCURS
69,72,2,17,OCCURS
69,37,2,17,OCCURS
70,71,2,17,OCCURS
70,72,2,17,OCCURS
70,37,2,17,OCCURS
71,72,2,17,OCCURS
71,37,2,17,OCCURS
72,37,2,17,OCCURS
73,74,2,18,OCCURS
73,75,2,18,OCCURS
73,76,2,18,OCCURS
74,75,2,18,OCCURS
74,76,2,18,OCCURS
75,76,2,18,OCCURS
77,1,2,19,OCCURS
77,72,2,19,OCCURS
77,78,2,19,OCCURS
77,79,2,19,OCCURS
77,80,2,19,OCCURS
77,81,2,19,OCCURS
77,82,2,19,OCCURS
77,83,2,19,OCCURS
77,84,2,19,OCCURS
77,85,2,19,OCCURS
77,86,2,19,OCCURS
77,31,2,19,OCCURS
